id,title,year,rating,votes,description,genres
10045837,The Outrun,2024,6.67863,5212,"Kiedy 29-letnia studentka biologii Rona powraca na Orkady po ponad dziesięciu latach, wspomnienia z dzieciństwa łączą się z ostatnimi latami życia spędzonymi w Londynie. Zabiera nas z powrotem do czasów, kiedy zagubiła się w imprezowej scenie Hackney i zakochała w Dayninie, ale wtedy też stopniowo alkohol przejął kontrolę i Rona straciła wszystko i wszystkich, na których jej zależało. Teraz trzeźwa, ale samotna i z dala od otaczającego ją świata, przebywa z religijną matką i pomaga cierpiącemu na chorobę dwubiegunową ojcu na farmie owiec, gdzie dorastała. Bez żadnych oczekiwań Rona podejmuje pracę dla RSPB, przeprowadzając badanie nieuchwytnego ptaka derkacza, co zmusza ją do odwiedzenia każdej zamieszkałej wyspy Orkadów. Utknęła w spirali wstydu i żalu. Rona próbuje znaleźć stabilność w swojej nowej rutynie, jednocześnie tłumiąc wspomnienia o tym, co spotkało ją w Londynie, ale przeszłość podąża za nią i powoli mistyczna kraina, która ją otacza, zaczyna przejmować jej wewnętrzny świat. W chwili słabości, gdy wszystko wydaje się rozpadać, decyduje się na odizolowanie na małej wyspie Papay. Wraz z wichurami, ciemnościami i przejmująco zimnym morzem odnajduje pocieszenie i radość wśród małej społeczności. Z dnia na dzień Rona zaczyna godzić się ze wszystkimi rzeczami w swoim życiu, które sprawiły, że wyruszyła w podróż ku wyzdrowieniu i w końcu znajduje nadzieję na swoją przyszłość.
",['Dramat']
10073687,Oddaj ją,2025,7.13676,1382,"Po śmierci ojca siedemnastoletni Andy i jego niedowidząca przyrodnia siostra Piper trafiają pod opiekę Laury — ekscentrycznej byłej opiekunki, która wychowuje też niemego Olivera. Z czasem Andy zaczyna podejrzewać, że Laura ukrywa mroczne sekrety, zwłaszcza gdy obsesyjnie faworyzuje Piper i coraz bardziej podważa jego zdrowie psychiczne. Gdy chłopak odkrywa, że Oliver jest opętany przez demona i że Laura planuje mroczny rytuał, by wskrzesić swoją zmarłą córkę, rodzeństwo staje do walki o przetrwanie w domu, w którym granice między miłością, żałobą i obłędem zacierają się.",['Horror']
10056092,Konklawe,2024,7.02643,58693,"Po śmierci znienawidzonego w Watykanie papieża, kardynałowie z całego świata zjeżdżają się na konklawe, by wybrać nowego przywódcę Kościoła. Obradom przewodzi kardynał Lawrence, który ma za zadanie jedynie czuwać nad ich sprawnym przebiegiem. Jednak, gdy zaostrza się walka dwóch wrogich frakcji, a na jaw zaczynają wychodzić kompromitujące tajemnice ich kandydatów, Lawrence staje przed dylematem. Zachować bezstronność i pozwolić wybrać osobę niegodną? Czy wbrew zasadom zaangażować się po jednej ze stron? A może poszukać trzeciego rozwiązania? Okazja nadarza się, gdy tuż przed rozpoczęciem głosowania wśród obradujących pojawia się nikomu nieznany kardynał Benitez, tajemniczy współpracownik nieżyjącego papieża. Kim jest? Kto za nim stoi? Jaki ma cel? Czy instytucję Kościoła czeka wstrząs, jakiego nie było w historii?","['Dramat', 'Thriller']"
10014621,Thunderbolts*,2025,7.12039,18914,"Najnowszy film ze Studia Marvel ""Thunderbolts"" przedstawia nietypową drużynę antybohaterów - Yelenę Belovą, Bucky’ego Barnesa, Czerwonego Strażnika, Ghosta, Taskmastera i Johna Walkera. Niepokorni bohaterowie wpadną w niebezpieczną pułapkę zastawioną przez Valentinę Allegra de Fontaine. Czy zmuszeni do podjęcia ryzykownej misji zdołają stawić czoła mrocznym tajemnicom swojej przeszłości? Czy uda im się połączyć siły, zanim będzie za późno?","['Akcja', 'Sci-Fi']"
10049735,Wojna,2025,6.97795,11790,"Napisany i wyreżyserowany przez weterana wojny w Iraku [person=2967101]Raya Mendozę[/person] oraz [person=84519]Alexa Garlanda[/person] (""[film=10007248]Civil War[/film]"", ""[film=35914]28 dni później[/film]""), Warfare przenosi widzów do domu irackiej rodziny, gdzie pluton amerykańskich Navy SEALs obserwuje ruchy sił USA na terytorium kontrolowanym przez rebeliantów. 
To pełna realizmu opowieść o współczesnej wojnie, przedstawiona w czasie rzeczywistym i oparta na wspomnieniach tych, którzy ją przeżyli – historia, jakiej nigdy wcześniej nie opowiedziano.","['Dramat', 'Wojenny', 'Akcja']"
10030278,Jak wytresować smoka,2025,7.89332,8652,"Na wyspie Berk, gdzie wikingowie i smoki są zaciekłymi wrogami od pokoleń, mieszka Czkawka ([person=2736186]Mason Thames[/person]; ""[film=869059]Czarny telefon[/film]""). Pomysłowy, ale niedoceniony syn wodza ([person=31702]Gerard Butler[/person], powtarzający swoją rolę z animowanej serii), Czkawka przeciwstawia się wielowiekowej tradycji, kiedy zaprzyjaźnia się ze Szczerbatkiem. Ich nieprawdopodobna więź ujawnia prawdziwą naturę smoków, podważając fundamenty społeczeństwa wikingów. Z wojowniczą i ambitną Astrid (nominowana do nagrody BAFTA [person=2542611]Nico Parker[/person]; ""[serial=849662]The Last of Us[/serial]"") i Gobberem ([person=168920]Nick Frost[/person]; ""[film=600541]Królewna Śnieżka i Łowca[/film]"") u boku Czkawka konfrontuje się ze światem rozdartym strachem i niezrozumieniem. Gdy pojawia się starożytne zagrożenie, zagrażające zarówno wikingom, jak i smokom, przyjaźń Czkawki i Szczerbatka staje się kluczem do wykucia nowej przyszłości. Razem muszą podążać delikatną ścieżką w kierunku pokoju, wznosząc się poza granice swoich światów i na nowo definiując, co to znaczy być bohaterem i przywódcą.","['Familijny', 'Fantasy', 'Przygodowy']"
10051631,Substancja,2024,6.73159,92091,"Czy marzysz czasem, by stać się lepszą wersją siebie? Tą samą, a jednak doskonalszą pod każdym względem? Spróbuj naszego nowego produktu o nazwie Substancja. Nic już nie będzie takie samo. Dzięki Substancji możesz stworzyć drugą siebie: młodszą, piękniejszą, perfekcyjną. Musisz pamiętać tylko o jednym, by dzielić czas między obie siebie, tę starą i nową. Tydzień dla jednej, tydzień dla drugiej. Idealna równowaga bez żadnych odstępstw. To proste, prawda? Jeśli nie spróbujesz naginać reguł, wszystko będzie dobrze.",['Horror']
729800,Minecraft: Film,2025,5.78639,24886,"Witamy w świecie Minecrafta, gdzie kreatywność nie tylko pomaga tworzyć, lecz jest niezbędna do przetrwania! Czworo nieudaczników - Garrett ""Śmieciarz"" Garrison ([person=140909]Jason Momoa[/person]), Henry ([person=2599648]Sebastian Hansen[/person]), Natalie ([person=1215084]Emma Myers[/person]) i Dawn ([person=1886640]Danielle Brooks[/person]) - zmaga się z codziennymi problemami, kiedy nagle tajemniczy portal wciąga ich do Nadziemia - dziwacznej krainy pełnej sześcianów, w której najważniejsza jest wyobraźnia. Aby wrócić do domu, będą musieli zapanować nad tym światem i ochronić go przed złymi stworzeniami, takimi jak pigliny i zombie. W tym celu wyruszają na magiczną wyprawę z nieoczekiwanym towarzyszem - doświadczonym graczem Stevem ([person=4343]Jack Black[/person]). Ta przygoda zmusi całą piątkę do wykazania się odwagą i odkrycia w sobie cech, dzięki którym każde z nich jest na swój sposób kreatywne. Są to te same cechy, które pomagają żyć w prawdziwym świecie.","['Komedia', 'Fantasy', 'Przygodowy']"
10025565,Mickey 17,2025,6.41765,37589,"Nagrodzony Oscarem autor scenariusza i reżyser filmu ""[film=798143]Parasite[/film]"", [person=181531]Bong Joon Ho[/person], przedstawia swój następny przełomowy film pod tytułem Mickey 17. Niezapowiadający się na bohatera Mickey Barnes ([person=164450]Robert Pattinson[/person]) nieoczekiwanie podejmuje się wyjątkowej pracy. Jego pracodawca żąda bowiem ostatecznego poświęcenia. Mickey musi umrzeć, żeby zarobić. 
","['Dramat', 'Przygodowy', 'Sci-Fi']"
10000684,The Old Guard 2,2025,4.57869,3444,"Andy ([person=2524]Charlize Theron[/person]) powraca ze swoim zespołem nieśmiertelnych wojowników, mierząc się z nową misją ratowania świata. Booker ([person=135875]Matthias Schoenaerts[/person]) nadal przebywa na wygnaniu za zdradę, a Quynh ([person=774478]Veronica Ngô[/person]) pragnie zemsty po ucieczce z podwodnego więzienia. Z kolei Andy musi stawić czoła swojej niedawno odkrytej śmiertelności. Tymczasem na horyzoncie pojawia się tajemnicze niebezpieczeństwo, które może zagrozić wszystkiemu, na co Andy pracowała przez tysiące lat. Andy, Nile ([person=2552652]KiKi Layne[/person]), Joe ([person=1069815]Marwan Kenzari[/person]), Nicky ([person=1284921]Luca Marinelli[/person]) i James Copley ([person=2564]Chiwetel Ejiofor[/person]) korzystają z pomocy Tuah ([person=2609958]Henry Golding[/person]) - starego przyjaciela, który może okazać się niezbędny do rozwikłania tajemnicy nieśmiertelności.","['Fantasy', 'Akcja']"
